SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO
INDEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,LOS OLIVOS,BACHILLER EN ADMINISTRACION,KIA,CERATO,LIMA,PLATA,SEDAN,5,
INDEPENDIENTE,D,FEMENINO,20,LIMA,LIMA,VILLA EL SALVADOR,BACHILLER EN ADMINISTRACION,NISSAN,SENTRA,LIMA,AZUL OSCURO,SEDAN,5,PARTICULAR
INDEPENDIENTE,B,MASCULINO,34,LAMBAYEQUE,CHICLAYO,PIMENTEL,BACHILLER EN ADMINISTRACION,YANSUMI,YS250AR3-ZW,CHICLAYO,NEGRO,TRIMOTO CARGA,2,
INDEPENDIENTE,C,MASCULINO,32,AREQUIPA,CAYLLOMA,MAJES,BACHILLER EN ADMINISTRACION,SUZUKI,SWIFT,CUSCO,NEGRO,HATCHBACK,,
INDEPENDIENTE,,MASCULINO,30,JUNIN,HUANCAYO,EL TAMBO,BACHILLER EN ADMINISTRACION,WANXIN,WX125-Z1,HUANCAYO,ROJO NEGRO,MOTOCICLETA,2,PARTICULAR
INDEPENDIENTE,A,MASCULINO,23,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN ADMINISTRACION,NISSAN,QASHQAI,LIMA,GRIS METALICO,SUV,,PARTICULAR
INDEPENDIENTE,B,FEMENINO,31,LIMA,LIMA,SURQUILLO,BACHILLER EN ADMINISTRACION,MAZDA,CX-5,LIMA,GRIS,SUV,5,PARTICULAR
INDEPENDIENTE,D,FEMENINO,20,LORETO,ALTO AMAZONAS,YURIMAGUAS,BACHILLER EN ADMINISTRACION,HONDA,WAVE 110S,JAEN,GRIS,MOTOCICLETA,2,
INDEPENDIENTE,B,FEMENINO,20,ANCASH,YUNGAY,YUNGAY,BACHILLER EN ADMINISTRACION,JINBEI,KONECT,LIMA,BLANCO,SUV,7,PARTICULAR
INDEPENDIENTE,A,FEMENINO,32,LIMA,LIMA,SAN BORJA,BACHILLER EN ADMINISTRACION,NISSAN,KICKS,LIMA,GRIS METALICO,SUV,,PARTICULAR
INDEPENDIENTE,RURAL,FEMENINO,20,AREQUIPA,AREQUIPA,CAYMA,BACHILLER EN ADMINISTRACION,HYUNDAI,TUCSON,LIMA,NEGRO,SUV,5,PARTICULAR
INDEPENDIENTE,,FEMENINO,20,SAN MARTIN,SAN MARTIN,TARAPOTO,BACHILLER EN ADMINISTRACION,HONDA,WAVE 110S,TARAPOTO,ROJO,MOTOCICLETA,2,
INDEPENDIENTE,A,MASCULINO,20,LIMA,LIMA,SAN BORJA,BACHILLER EN ADMINISTRACION,MERCEDES-BENZ,E300,LIMA,PLATA,SEDAN,5,
INDEPENDIENTE,,MASCULINO,20,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,BACHILLER EN ADMINISTRACION,HYUNDAI,GRAND i10,LIMA,AZUL,SEDAN,5,PARTICULAR
INDEPENDIENTE,C,MASCULINO,20,ICA,ICA,PARCONA,BACHILLER EN ADMINISTRACION,FOTON,BJ1069VDJDA-F1,LIMA,ROJO BLANCO,FURGON ,3,CARGA/TRANSPORTE
INDEPENDIENTE,C,MASCULINO,20,LIMA,LIMA,LIMA,BACHILLER EN ADMINISTRACION,WANXIN,WX150-G2,CHICLAYO,NEGRO,MOTOCICLETA,2,
INDEPENDIENTE,,FEMENINO,24,PUNO,SANDIA,CUYOCUYO,BACHILLER EN ADMINISTRACION,TOYOTA,HILUX,CUSCO,BLANCO,PICK UP,5,CARGA/TRANSPORTE
INDEPENDIENTE,RURAL,MASCULINO,20,CUSCO,LA CONVENCION,SANTA ANA,BACHILLER EN ADMINISTRACION,VOLKSWAGEN,CROSSFOX,LIMA,NEGRO NINJA,SUV,5,
INDEPENDIENTE,C,FEMENINO,20,JUNIN,HUANCAYO,EL TAMBO,BACHILLER EN ADMINISTRACION,NISSAN,CONDOR CARGO,PASCO,ROJO MULTICOLOR,BARANDA,,CARGA/TRANSPORTE
INDEPENDIENTE,A,MASCULINO,20,LIMA,LIMA,LA MOLINA,BACHILLER EN ADMINISTRACION,CHANGAN,CX70,LIMA,PLATA,SUV,7,PARTICULAR
INDEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,COMAS,BACHILLER EN ADMINISTRACION,HONDA,V-MEN,LIMA,ROJO,MOTOCICLETA,,
INDEPENDIENTE,,MASCULINO,20,TACNA,TACNA,TACNA,BACHILLER EN ADMINISTRACION,KIA,BESTA,TACNA,BLANCO AZUL,,,PARTICULAR
INDEPENDIENTE,C,MASCULINO,20,UCAYALI,CORONEL PORTILLO,YARINACOCHA,BACHILLER EN ADMINISTRACION,HONDA,STORM,PUCALLPA,GRIS,MOTOCICLETA,2,PARTICULAR
INDEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN JUAN DE LURIGANCHO,BACHILLER EN ADMINISTRACION,GREAT WALL,GREAT WALL M4,LIMA,NEGRO,SUV,5,PARTICULAR
INDEPENDIENTE,,MASCULINO,20,LIMA,LIMA,CARABAYLLO,BACHILLER EN ADMINISTRACION,KIA,RIO,LIMA,PLATA BRILLANTE,SEDAN,5,
INDEPENDIENTE,E,FEMENINO,25,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN ADMINISTRACION,KIA,RIO,TRUJILLO,NEGRO,SEDAN,5,URBANO/INTERURBANO
INDEPENDIENTE,C,MASCULINO,31,JUNIN,HUANCAYO,HUANCAYO,BACHILLER EN ADMINISTRACION,TOYOTA,HILUX,HUANCAYO,GRIS OSCURO METALICO,PICK UP,5,CARGA/TRANSPORTE
INDEPENDIENTE,,MASCULINO,20,JUNIN,TARMA,TARMA,BACHILLER EN ADMINISTRACION,HONDA,XR 150L,LIMA,ROJO,MOTOCICLETA,2,
