SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO,COT
DEPENDIENTE,B,FEMENINO,30,LAMBAYEQUE,CHICLAYO,CHICLAYO,BACHILLER EN DERECHO,CHERY,BEAT,CHICLAYO,AZUL CLARO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,ICA,ICA,ICA,BACHILLER EN DERECHO,NISSAN,QASHQAI,ICA,PLATA METALICO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,30,ICA,ICA,ICA,BACHILLER EN DERECHO,TOYOTA,YARIS,LIMA,BLANCO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,30,LIMA,LIMA,SURQUILLO,BACHILLER EN DERECHO,TOYOTA,AVANZA,LIMA,PLATA METALICO,MULTIPROPOSITO,7,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,30,LAMBAYEQUE,CHICLAYO,CHICLAYO,BACHILLER EN DERECHO,KIA,SORENTO,LIMA,PLATA BRILLANTE,SUV,7,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,32,LIMA,LIMA,MIRAFLORES,BACHILLER EN DERECHO,NISSAN,TIIDA,LIMA,GRIS MAGNETICO,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,30,AREQUIPA,AREQUIPA,AREQUIPA,BACHILLER EN DERECHO,KIA,SORENTO,AREQUIPA,ROJO SUNSET,SUV,7,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,BACHILLER EN DERECHO,CHEVROLET,SAIL,LIMA,GRIS ROCA,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,30,AREQUIPA,AREQUIPA,YANAHUARA,BACHILLER EN DERECHO,SUBARU,FORESTER,AREQUIPA,BLANCO CRISTAL PERLADO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN DERECHO,HYUNDAI,GRAND i10,LIMA,BLANCO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,32,LIMA,LIMA,SAN BORJA,BACHILLER EN DERECHO,JEEP,GRAND CHEROKEE LAREDO,LIMA,AZUL OSCURO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN MARTIN DE PORRES,BACHILLER EN DERECHO,RENAULT,STEPWAY,LIMA,GRIS PLATINA,SUV,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,34,LIMA,LIMA,LIMA,BACHILLER EN DERECHO,PEUGEOT,406 ST,LIMA,ROJO VULCAIN,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,30,ICA,ICA,ICA,BACHILLER EN DERECHO,KIA,RIO,LIMA,GRIS GRAFITO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN DERECHO,TOYOTA,RAV4,LIMA,PLATA METALICO,SUV,5,PARTICULAR,1
